Schlüssel,Straftat,Gemeinde-schlüssel,Stadt-/Landkreis,Kreisart,erfasste Fälle,HZ nach Zensus,Unique Ids
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01001,Flensburg,KfS,23,"25,9831222675358","Flensburg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01002,Kiel,KfS,79,"31,8621618678487","Kiel, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01003,Lübeck,KfS,68,"31,4352018787156","Lübeck, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01004,Neumünster,KfS,24,"30,2514653053507","Neumünster, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01051,Dithmarschen,K,29,"21,7314739184845","Dithmarschen, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01053,Herzogtum Lauenburg,K,123,"62,7314177300407","Herzogtum Lauenburg, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01054,Nordfriesland,K,18,"10,8786307430105","Nordfriesland, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01055,Ostholstein,K,45,"22,4344912854465","Ostholstein, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01056,Pinneberg,K,108,"34,5420933787924","Pinneberg, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01057,Plön,K,29,"22,5081883236833","Plön, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01058,Rendsburg-Eckernförde,K,64,"23,4413343979606","Rendsburg-Eckernförde, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01059,Schleswig-Flensburg,K,39,"19,5485782168689","Schleswig-Flensburg, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01060,Segeberg,K,102,"37,222881123985","Segeberg, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01061,Steinburg,K,35,"26,5931177011389","Steinburg, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,01062,Stormarn,K,143,"58,975881751295","Stormarn, K"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,02000,Hamburg,KfS,1765,"96,417318189168","Hamburg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03101,Braunschweig,KfS,131,"52,8176822310834","Braunschweig, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03102,Salzgitter,KfS,34,"32,5209473160653","Salzgitter, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03103,Wolfsburg,KfS,146,"117,823651887599","Wolfsburg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03151,Gifhorn,LK,57,"32,5567315326224","Gifhorn, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03153,Goslar,LK,27,"19,6273707319555","Goslar, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03154,Helmstedt,LK,29,"31,6179677278674","Helmstedt, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03155,Northeim,LK,32,"24,0518316973077","Northeim, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03157,Peine,LK,39,"29,242396976786","Peine, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03158,Wolfenbüttel,LK,46,"38,1942426330779","Wolfenbüttel, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03159,Göttingen,LK,82,"24,9972563986879","Göttingen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03241,Region Hannover,LK,644,"55,8700414253801","Region Hannover, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,03251,Diepholz,LK,42,"19,4433642575412","Diepholz, LK"
