,kilometers,model_group,model_name,offer_id,price,text,url,zip_code
0,157.244 km,kleinwagen,VW-Polo,1,600 € ,VW Polo 1.4 L Motor8 Reifen Sommer/WinterLeichtmetall Felgen dabeiNeue...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70439
1,1997,kleinwagen,VW-Polo,2,10.800 € ,Hallo verkaufe meinen VW Polo.GTI 17“ Zoll Felgen.Kotflügel vorne links nur Blechschaden.Wurde...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70567
2,70.000 km,kleinwagen,VW-Polo,3,1.400 € ,"VW Polo 6n zu verkaufen. Bj 1994, Erstzulassung 1995.Auto hat 75.000 km und wurde vorwiegend...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70499
3,2012,kleinwagen,VW-Polo,4,3 €,"Funktioniert einwandfreiVersand 2,99.-",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70563
4,75.000 km,kleinwagen,VW-Polo,5,50 € ,"Dachträger MontBlanc ReadyFit 10, gebraucht, vormontiert für Polo, Traversen aus Stahl,...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70178
5,1995,kleinwagen,VW-Polo,6,260 €,VW Polo GTI brescia 18 Zoll Felge- Werksfelge- Hatte mal eine kleine Macke wie man auf dem Bild...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70327
6,49.000 km,kleinwagen,VW-Polo,7,28 €,Produktbeschreibunge​nARTIKEL- Unsere Zündspule ist eine Ideale wahl zur ersetzung Ihrer...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70176
7,2009,kleinwagen,VW-Polo,8,26 €,ProduktbeschreibungKompatibel für: VWOEM Nummern: 6N0827550Einbauposition: Heckklappe Links...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70176
8,150.000 km,kleinwagen,VW-Polo,9,26 €,"ProduktbeschreibungArtikeleigenschaften​Kompatibel für : VWReferenznummer: 6Q6827550,...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70176
9,2001,kleinwagen,VW-Polo,10,72 €,ProduktbeschreibungLambdasonde Regelsonde für Audi A1 Hyundai Santa Fé KIA Seat Skoda Fabia VW...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70173
10,90.750 km,kleinwagen,VW-Polo,11,26 €,ProduktbeschreibungKompatibel für: VWOEM Nummern: 6R6827550AEinbauposition: Heckklappe Links...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70176
11,2007,kleinwagen,VW-Polo,12,6.390 €,*    1.  H A N D  ​*    S C H E C K H E F T G E P F L...,https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70329
12,2001,kleinwagen,VW-Polo,14,75 €,"Verkaufe unseren VW Polo 1.4. Perfektes Stadtauto, hat altersentsprechend Gebrauchsspuren die...",https://www.ebay-kleinanzeigen.de/s-stuttgart/anzeige:angebote/seite:1/VW-Polo/k0l9280,70435
