,id,model,price,kilometer,registration_date,condition,zip_code,text,place,url,zip_extracted,NUTS_3,RegionalID,Place,Place2,age,Land,Kreis,bip.2016,bip.2017,pek.2016,gdppc.2016,gdppc.2017,cit.2016,cit.2017,Schl�.ssel,Straftat,Gemeinde.schl�.ssel,Stadt..Landkreis,Kreisart,erfasste.F�.lle,HZ.nach.Zensus,Unique.Ids,f�lle
1,1178197729,Kleinwagen,5150,84000,2012,Besch�digtesFahrzeug,84347,"                    Polo hat frischen T�V (bis Juni 21)und ist in einem guten Allgemeinzustand.zuletzt erneuert wurden folgende Teile:- Innenraumfilter- Luftfilter- �lfilter-Motor�lWie an den Bildern zu sehen, hat das Fahrzeug hinten und vorne an der linken Seite und unten von vorne tor Delle und Kratzer. Alle diese Besch�digt beim parken passiert.Dieser w�rde sich aber recht einfach reparieren lassen.Bei Interesse, melden sie sich bei mir bitte per Email oder whatsapp.KleinwagenGebrauchtfahrzeugBesch�digt aber UnfallfreiHubraum: 1198cm�Anzahl der T�ren: 4/5 T�renAnzahl Sitzpl�tze: 5Schadstoffklasse: Euro5Umweltplakette: 4 (Gr�n)Anzahl der Fahrzeughalter: 2HU: 7/2021Farbe: RotFarbe (Hersteller): --Innenausstattung: StoffFarbe der Innenausstattung: GrauAirbags: jaAnh�ngerkupplung: --Radio: Tuner/RadioAusstattungABS, Bordcomputer, CD-Spieler, Elektr. Fensterheber vorne, Tuner/Radio,Original VW Aluflege, Klimaanlage, WinterreifenPrivatanbieter83347 PfarrkirchenBayernWhatsapp:015783583643",84347Bayern-Pfarrkirchen,https://www.ebay-kleinanzeigen.de/s-anzeige/vw-polo-60ps-original-vw-aluflege-klimaanlage-winterreifen/1178197729-216-5823,84347,DE22A,9277,deggendorf,"Pfarrkirchen, Niederbayern",7,BY,"Rottal-Inn, Landkreis",3638.2829999999999,3775.2730000000001,26360,30467,31462,119418,119994,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9277,Rottal-Inn,LK,9,7.47688396706848,"Rottal-Inn, LK",9
2,1177829384,Kleinwagen,800,197000,2005,Unbesch�digtesFahrzeug,94209,                    Verkaufe meinen vw polo 9n ohne T�V.Bei Interesse und weiteren Infos PN,94209Bayern-Regen,https://www.ebay-kleinanzeigen.de/s-anzeige/vw-polo-9n/1177829384-216-5994,94209,DE229,9276,deggendorf,Regen,14,BY,"Regen, Landkreis",2345002,2447.1460000000002,23949,30455,31642,77,77.337999999999994,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9276,Regen,LK,5,6.45252874601556,"Regen, LK",5
3,1177711062,Kombi,450,208000,2000,Besch�digtesFahrzeug,94032,"                    Sparsamer und ger�umiger VW Polo Kombi, Motor l�uft leider schlecht und geht u.U. wieder aus, Vermutung auf �ldruck, evtl. schnell repariert...T�V noch bis Juli 2020, Zahnriemen erst gewechselt bei 206 000 km mit Rechnung, ebenso �l und Filterwechsel bei 206 000 km. Fahrzeug hat Gebrauchsspuren, ist 8-fach bereift (Sommerreifen auf Alu-Felgen), elektrische Fensterheber und elektrisches Schiebedach. Windschutzscheibe gesprungen! �l-Druck und ABS-Leuchte leuchten auf. Sonstige bekannte M�ngel: Fensterheber-Knopf rechte Seite ausgebrochen (funktioniert aber generell), Hebel Handschuhfach gebrochen, Griff Heckklappe schlecht geklebt.Bei Fragen bitte telefonisch oder per email melden",94032Kr.Passau-Passau,https://www.ebay-kleinanzeigen.de/s-anzeige/volkswagen-vw-polo-1-4-variant-kombi-motor-schlecht-hu-07-20/1177711062-216-7482,94032,DE222,9262,deggendorf,Passau,19,BY,"Passau, Kreisfreie Stadt",3272.3270000000002,3495.5169999999998,24214,64391,67969,50.82,51.427999999999997,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9262,Passau,KfS,7,13.518472026419,"Passau, KfS",7
4,1177335800,Kleinwagen,2900,147617,2006,Unbesch�digtesFahrzeug,94469,                    Verkaufe hier einen VW Polo mit 4 elektrischen Fenster und Klimaanlage!Guter gebrauchter Zustand!Bei Interesse melden,94469Bayern-Deggendorf,https://www.ebay-kleinanzeigen.de/s-anzeige/vw-polo-9n/1177335800-216-16909,94469,DE224,9271,deggendorf,Deggendorf,13,BY,"Deggendorf, Landkreis",4469.3559999999998,4688.3109999999997,26715,38167,39674,117099,118.17100000000001,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9271,Deggendorf,LK,15,12.6325363606505,"Deggendorf, LK",15
5,1160799131,Kleinwagen,2590,167000,2003,7,94571,"                    Verkaufe einen gebrauchten Polo 9n im guten Zustand.8 fach Bereift - Sommer Alufelgen, Winter Stahlfelgen mit Radkappen.neuer Serviceneue Bremsen vorneneues Flexrohr mit Mittelschalld�mpferneuer T�V und ASUZentralverriegelungWegfahrsperreKlimaanlageStauf�cher unter den SitzenLeseleuchten mit Abschaltverz�gerungneue Schonbez�geein sportliches Fahren dank 1.4 mit 75 PS.Guterhalten aber kein Neuwagen !!!!",94571Bayern-Schaufling,https://www.ebay-kleinanzeigen.de/s-anzeige/vw-polo-1-4-schwarz-mit-klima-/1160799131-216-6011,94571,DE224,9271,deggendorf,Schaufling,16,BY,"Deggendorf, Landkreis",4469.3559999999998,4688.3109999999997,26715,38167,39674,117099,118.17100000000001,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9271,Deggendorf,LK,15,12.6325363606505,"Deggendorf, LK",15
6,1172280349,Limousine,1800,128000,2003,7,84326,"                    Das Auto in gutem Zustand neu T�v ,Sommer und Winter reifen,kein Rost.KleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 1198 cm�Anzahl der T�ren: 2/3T�renAnzahl Sitzpl�tze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Gr�n)Anzahl der Fahrzeughalter: 1HU: 7/2021Farbe: RotFarbe (Hersteller): --Innenausstattung: StoffFarbe der Innenausstattung: GrauAirbags: Front-, Seiten- und weitere AirbagsAnh�ngerkupplung: --",84326Bayern-Falkenberg,https://www.ebay-kleinanzeigen.de/s-anzeige/vw-polo-1-2-neu-t-v-erste-hand-/1172280349-216-19513,84326,DE22A,9277,deggendorf,"Falkenberg, Niederbayern",16,BY,"Rottal-Inn, Landkreis",3638.2829999999999,3775.2730000000001,26360,30467,31462,119418,119994,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9277,Rottal-Inn,LK,9,7.47688396706848,"Rottal-Inn, LK",9
7,1176992359,Benzin,390,82000,1995,2020,84130,                    Fahrzeug hat roststellen dem Alter entsprechend. Erneuert wurden bremsscheiben und Bel�ge vorn.Bereifung ebenfalls neu. Auto l�uft aber ist abgemeldet. Wer das Auto bis Freitag den 09.08 holt bekommt das Auto f�r 300 Euro,84130Bayern-Dingolfing,https://www.ebay-kleinanzeigen.de/s-anzeige/vw-polo-6n/1176992359-216-6043,84130,DE22C,9279,deggendorf,Dingolfing,24,BY,"Dingolfing-Landau, Landkreis",6334.8860000000004,6790.8159999999998,30335,66986,71158,94.57,95.433000000000007,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9279,Dingolfing-Landau,LK,7,7.30452567540775,"Dingolfing-Landau, LK",7
8,1176856482,Kleinwagen,5900,131000,2006,Unbesch�digtesFahrzeug,94496,"                    Hallo verkaufe hier das Auto von meiner Freundin, dass immer Regelm��ig gewartet und gepflegt worden ist und in einem guten Zustand ist.Das Auto ist noch angemeldet daher k�nnen sich die Km noch minimal �ndern aber daf�r ist eine Probefahrt m�glich. T�v k�nnten wir wenn erw�nscht noch neu machen.Bei Fragen bitte unter dieser Nummer +49 171 2307974 melden",94496Bayern-Ortenburg,https://www.ebay-kleinanzeigen.de/s-anzeige/vw-polo-gti/1176856482-216-5812,94496,DE228,9275,deggendorf,Ortenburg,13,BY,"Passau, Landkreis",5400.6120000000001,5706.7610000000004,24945,28632,30082,188.62,189.70400000000001,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9275,Passau,LK,16,8.39877377902826,"Passau, LK",16
9,1176668064,Kleinwagen,800,155020,2000,8,NA,"                    Biete hier meinen VW Polo mit 50ps an, es ist ein prima Fahranf�nger Auto mit dem man nix falsch machen kann, er hat die eine oder andere roststelle aber nix schlimmes. Die g�nge schalten sauber. Er hat vor kurzem einen neuen Auspuff und neue Bremsscheiben sowie Bremskl�tze bekommen.","Schwarzweg2,94518Bayern-Spiegelau",https://www.ebay-kleinanzeigen.de/s-anzeige/vw-polo-50ps-999cm/1176668064-216-6015,94518,DE225,9272,deggendorf,Spiegelau,19,BY,"Freyung-Grafenau, Landkreis",2190.6109999999999,2297373,23448,28030,29355,78151,78.263000000000005,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9272,Freyung-Grafenau,LK,5,6.38202820856468,"Freyung-Grafenau, LK",5
10,1176101935,Kleinwagen,1750,125600,2001,8,93413,"                    VW Polo 1,4 � Sondermodell Edition �- 2.Hand- guter, gepflegter Originalzustand- T�V neu- Kundendienst neu- Bremse neu- el. Faltverdeck- f�hrt sehr gut, ohne Reparaturstau- kein Tausch oder RatenzahlungPrivatverkauf = keine Gew�hrleistung oder R�cknahmeNix was is letzte Preis!",93413Bayern-Cham,https://www.ebay-kleinanzeigen.de/s-anzeige/vw-polo-6n2/1176101935-216-5969,93413,DE235,9372,deggendorf,"Cham, Oberpfalz",18,BY,"Cham, Landkreis",4384.6949999999997,4607.6899999999996,25061,34624,36244,126639,127129,***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,9372,Cham,LK,14,10.9942751238819,"Cham, LK",14
