,id,model,price,kilometer,registration_date,condition,zip_code,text,place
2,1178197729,Kleinwagen,5.15 €,84,2012,BeschädigtesFahrzeug,84347,"                    Polo hat frischen TÜV (bis Juni 21)und ist in einem guten Allgemeinzustand.zuletzt erneuert wurden folgende Teile:- Innenraumfilter- Luftfilter- Ölfilter-MotorölWie an den Bildern zu sehen, hat das Fahrzeug hinten und vorne an der linken Seite und unten von vorne tor Delle und Kratzer. Alle diese Beschädigt beim parken passiert.Dieser würde sich aber recht einfach reparieren lassen.Bei Interesse, melden sie sich bei mir bitte per Email oder whatsapp.KleinwagenGebrauchtfahrzeugBeschädigt aber UnfallfreiHubraum: 1198cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro5Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 2HU: 7/2021Farbe: RotFarbe (Hersteller): --Innenausstattung: StoffFarbe der Innenausstattung: GrauAirbags: jaAnhängerkupplung: --Radio: Tuner/RadioAusstattungABS, Bordcomputer, CD-Spieler, Elektr. Fensterheber vorne, Tuner/Radio,Original VW Aluflege, Klimaanlage, WinterreifenPrivatanbieter83347 PfarrkirchenBayernWhatsapp:015783583643",84347Bayern-Pfarrkirchen
3,1178142974,Kleinwagen,150 €,160.225,1998,UnbeschädigtesFahrzeug,94255,                    Hallo ich verkaufe hier meinen VW Polo. Er ist fahrbereit und noch angemeldet.Bei Interesse melden Sie sich bitte unter 01717104378.,94255Bayern-Böbrach
4,1177829384,Kleinwagen,800 €,197,2005,UnbeschädigtesFahrzeug,94209,                    Verkaufe meinen vw polo 9n ohne TÜV.Bei Interesse und weiteren Infos PN,94209Bayern-Regen
5,1177798732,Kleinwagen,1.85 €,150,2005,UnbeschädigtesFahrzeug,93192,"                    Verkauft wird ein VW Polo in eine gepflegten gutem Zustand.Der Polo hat eine Klimaanlage, Zentralverriegelung und einen RadioBremsen wurder neu gemachtRadlager vornePrivatverkauf keine Garantie und Rücknahme",93192Bayern-WaldOberpf.
6,1177711062,Kombi,450 €,208,2000,BeschädigtesFahrzeug,94032,"                    Sparsamer und geräumiger VW Polo Kombi, Motor läuft leider schlecht und geht u.U. wieder aus, Vermutung auf Öldruck, evtl. schnell repariert...TÜV noch bis Juli 2020, Zahnriemen erst gewechselt bei 206 000 km mit Rechnung, ebenso Öl und Filterwechsel bei 206 000 km. Fahrzeug hat Gebrauchsspuren, ist 8-fach bereift (Sommerreifen auf Alu-Felgen), elektrische Fensterheber und elektrisches Schiebedach. Windschutzscheibe gesprungen! Öl-Druck und ABS-Leuchte leuchten auf. Sonstige bekannte Mängel: Fensterheber-Knopf rechte Seite ausgebrochen (funktioniert aber generell), Hebel Handschuhfach gebrochen, Griff Heckklappe schlecht geklebt.Bei Fragen bitte telefonisch oder per email melden",94032Kr.Passau-Passau
9,1177468754,Kleinwagen,250 €,240,2001,3,93179,                    ABS defektRadlager vorne links defektRost vorhandenMeistens springt er an,93179Bayern-Brennberg
12,1177335800,Kleinwagen,2.90 €,147.617,2006,UnbeschädigtesFahrzeug,94469,                    Verkaufe hier einen VW Polo mit 4 elektrischen Fenster und Klimaanlage!Guter gebrauchter Zustand!Bei Interesse melden,94469Bayern-Deggendorf
21,1160799131,Kleinwagen,2.59 €,167,2003,7,94571,"                    Verkaufe einen gebrauchten Polo 9n im guten Zustand.8 fach Bereift - Sommer Alufelgen, Winter Stahlfelgen mit Radkappen.neuer Serviceneue Bremsen vorneneues Flexrohr mit Mittelschalldämpferneuer TÜV und ASUZentralverriegelungWegfahrsperreKlimaanlageStaufächer unter den SitzenLeseleuchten mit Abschaltverzögerungneue Schonbezügeein sportliches Fahren dank 1.4 mit 75 PS.Guterhalten aber kein Neuwagen !!!!",94571Bayern-Schaufling
22,1172280349,Limousine,1.80 €,128,2003,7,84326,"                    Das Auto in gutem Zustand neu Tûv ,Sommer und Winter reifen,kein Rost.KleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 1198 cm³Anzahl der Türen: 2/3TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 1HU: 7/2021Farbe: RotFarbe (Hersteller): --Innenausstattung: StoffFarbe der Innenausstattung: GrauAirbags: Front-, Seiten- und weitere AirbagsAnhängerkupplung: --",84326Bayern-Falkenberg
23,1176992359,Benzin,390 €,82,1995,2020,84130,                    Fahrzeug hat roststellen dem Alter entsprechend. Erneuert wurden bremsscheiben und Beläge vorn.Bereifung ebenfalls neu. Auto läuft aber ist abgemeldet. Wer das Auto bis Freitag den 09.08 holt bekommt das Auto für 300 Euro,84130Bayern-Dingolfing
