"","id","model","price","kilometer","registration_date","condition","zip_code","text","place"
"2","1169920269","Kleinwagen","1.900€","161.000","2004","UnbeschädigtesFahrzeug","81539","                    Gut erhaltener Polo abzugeben. Er wurde die meiste Zeit für Langstrecken genutzt.Eignet sich aber perfekt für in der Stadt und kurze Strecken.Kann bei Interesse gerne besichtigt (Obergiesing) oder mehr Bilder geschickt werden.Scheckheft gepflegt.","81539München-Obergiesing"
"3","1178341163","Kleinwagen","13.890€","8.330","2016","UnbeschädigtesFahrzeug","86934","                    Hallo!Ich verkaufe diesen Polo mit 90 PS Automatik (7 Gang DSG) aus einem Erbfall, es handelt sich um ein Rentnerfahrzeug.Es hat noch extrem wenig KM, weshalb alle Verschleißteile in einem sehr guten Zustand sind. Allgemein ein neuwertiges Fahrzeug mit EURO 6 plus.Die Sommerreifen sind auf Leichtmetallfelgen, die Winterreifen auf Stahl.Die Highlights des Autos sind der sehr schöne Metallic Lack ""Toffee Braun"", Sitzheizung v, Einparkhilfe v/h, großes Radio mit Aux & Touchscreen, Klimaanlage, Multifunktionslenkrad mit Tempomat, Boardcomputer mit Statusanzeige, Scheinwerferreinigungsanlage, Kurvenlicht, Reifendruckkontrolle und vieles mehr...Es ist eine neue Batterie verbaut, eine große Inspektion und neuer TÜV sind im Verkaufspreis inklusive.Rufen Sie mich gerne an, und kommen Sie vorbei!Viele Grüße, Tobias","86934Bayern-Reichling"
"5","1178176759","Kleinwagen","1.000€","142","2003","05","81825","                    Sehr gut Zu standen","81825München-Trudering-Riem"
"6","1178117195","Kleinwagen","1.900€","208.000","2006","UnbeschädigtesFahrzeug","80999","                    Falls Sie schon immer Probleme hatten, ihr Auto in der Stadt zu finden, oder gerne im Wald unerkannt umherfahren wollen, dann habe ich genau das richtige Auto für Sie....Ich muss leider meinen heiß geliebten Polo verkaufen, da ich ab September für ein Jahr im Ausland bin. Es lohnt sich für mich daher nicht, mein Auto und meine Garage zu behalten.Es fährt wie eine Eins und ich musste bis jetzt nichts Großes machen lassen. TÜV ist im Mai gemacht worden, das heißt, Sie haben für die nächsten zwei Jahre erst mal Ihre Ruhe. :)Öl wurde Ende letztes Jahres gewechselt und ich habe im Mai nagelneue Allwetterreifen montieren lassen. (siehe Fotos) Rechnung habe ich auch noch.Vom Vorbesitzer hat es leichte Kratzer. Eine größere an der rechten Tür (s. Fotos)Das Lenkrad hat Abnutzungserscheinungen.Bei Interesse können Sie gerne vorbeikommen und eine Probefahrt machen.PRIVATVERKAUFKleinwagenGebrauchtfahrzeugUnfallfreiHubraum: 1198 cm³Anzahl der Türen: 2/3 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 2HU: 5/2021Farbe: GrünFarbe (Hersteller): --Innenausstattung: StoffFarbe der Innenausstattung: GrauAirbags: Fahrer-AirbagAnhängerkupplung: --Radio: Tuner/RadioAusstattungABS, Bordcomputer, CD-Spieler, Elektr. Fensterheber, Elektr. Wegfahrsperre, Isofix, Servolenkung, ZentralverriegelungDer Preis ist Verhandlungsbasis.Privatanbieter80999 MünchenDeutschlandTel.: +49 176 47701677Weitere Informationen bei","80999München-Allach-Untermenzing"
"7","1178069528","Benzin","1.000€","150.000","2019",NA,"85221","                    Suche von Privat vw golf oder polo. Tüv 1Jarhe brauche Minimum. Nur BENZIN Bitte alles anbieten.","85221Kr.Dachau-Dachau"
"11","1178009531","Kleinwagen","8.300€","67.700","2010","UnbeschädigtesFahrzeug","83083","                    VW Polo 1.2 TSI Team-Leistung : 77 kW / 105 PS-Hubraum: 1197 ccm-Motorart : Benzin / Euro 5-Getriebe: 6 Gang / Manuell-Farbe : Shadow Blue Metallic-TÜV : 10/19Pakete:-Team Plus Paket-Nichtraucher Paket-Komfort Paket Elektrik 1-Licht+Sicht Paket-Außenausstattung: ColorFahrassistenz-System:-Geschwindigkeits-Regelanlage (Tempomat)-Berganfahr Assistent-ABS-EDS-ASR-ESPScheinwerfer+Licht:-Doppelscheinwerfer (Halogen)-Tagfahrlicht-Nebelscheinwerfer mit integriertem Abbiegelicht-Blinkleuchte in Außenspiegel integriert-NebelschlussleuchteTechnik+Sicherheit:-Klimaanlage Climatic-Sitzheizung Fahrer und Beifahrer-Sportsitze-Multifunktionsanzeige / Bordcomputer-Park Distance Control (Hinten)-Integriertes Ladegerät-Marderschreck-Scheibenwischer mit Regensensor-Reifenkontrollanzeige-Airbag Fahrer-Beifahrerseite-Airbag Beifahrerseite abschaltbar-Seitenairbag vorn mit Kopfairbag-Mittelarmlehne für Fahrer-Fensterheber elektrisch vorn und hinten-Wegfahrsperre-Isofix Aufnahmen für Kindersitz hinten-Sonnenblenden vorn mit Spiegel beleuchtet-Fußraumbeleuchtung-Innenspiegel mit AbblendautomatikMultimedia:-Audiosystem RCD 310 MP3-6 Lautsprecher-Multimediabuchse AUX-INRäder:-Sommer 215/45 R 16-Winter 185/60 R 15Unfall:-Behobener Wildschaden-Gutachten vorhanden-Werkstatt Rechnung vorhandenPrivatverkauf83083 RiederingDeutschlandMobil: 01607835940Tel: 08036/9083056","83083Bayern-Riedering"
"16","1177894727","Benzin","400€","144.000","2000","2/3","83512","                    Das Auto hat einen Hagelschaden und ist ohne Tüv , entweder zum Herrichten oder Ausschlachten . Preis ist VB","83512Bayern-WasserburgamInn"
"17","1177805173","Kleinwagen","1.450€","180.000","2005","UnbeschädigtesFahrzeug","83022","                    Das Auto ist voll fahrbereit bitte um Anruf falls es Fragen gibt!!!Klima4x El Fenster2x El spiegelCd radio6x Airbag1,4 Benzin","83022Bayern-Rosenheim"
"20","1177659610","Kleinwagen","5.190€","94.600","2008","UnbeschädigtesFahrzeug","Ottos","                    VW Polo 1.4 16V Silver Edition mit 5 Türen- HU/AU Neu- 1. Hand- VW Scheckheft gepflegt- (lückenlose VW Historie)- Klimaanlage- 16 Zoll Leichtmetallfelgen- CD-Radio ""RCD 200 MP3""- Incl. Winterkompletträder etc.Sonderausstattung:Karosserie: 4-türig, Klimaanlage ""Climatic"", Audiosystem RCD 200 MP3 (Radio/CD-Player, 4 Lautsprecher), Fensterheber elektrisch hinten, Silver Edition: 16 Zoll Leichtmetallfelgen ""Varano"" mit 205 45 16 Breitreifen, Reserverad in Fahrbereifung (16 Zoll Leichtmetallfelge - Neu und unbenutzt), Lederlenkrad, schwarzer Dachhimmel, Verglasung hinten abgedunkelt (65 %), zusätzlich WinterkompletträderWeitere Ausstattung:ABS, ESP, Fahrer-/ Beifahrer-/ Seitenairbag, 3-Punkt-Sicherheitsgurt hinten mitte, Airbag Beifahrerseite abschaltbar, 3. Bremsleuchte, Servolenkung, Außenausstattung: Color, Außenspiegel lackiert, Blinkleuchte in Außenspiegel integriert, Bremsassistent, Dachantenne, Doppeltonhorn, Fensterheber elektrisch vorn, Kopfstützen hinten (3-fach), Drehzahlmesser, Lenksäule (Lenkrad) mechan. verstellbar, Höhen-/Längsverstellung, Metallic-Lackierung, Motor 1,4 Ltr. - 59 kW 16V, Nichtraucher-Paket, Rücksitzbank / Lehne geteilt (60/40), Schalt-/Wählhebelgriff Leder, Schutzleisten Stoßfänger Wagenfarbe, Seitenschutzleisten Wagenfarbe, Sitz vorn links höhenverstellbar, Schublade unter Sitz vorn links, Sonnenblende links und rechts mit Spiegel (beleuchtet), Staub- und Pollenfilter, Stoßfänger lackiert, Getränkehalter, Textilfussmatten, Wärmeschutzverglasung grün getönt u.s.w.VW-Wartungshistorie:18.01.2010 bei 14.024 KM22.03.2011 bei 26.212 KM13.06.2012 bei 36.538 KM02.06.2015 bei 59.917 KM17.05.2018 bei 83.456 KM18.07.2018 bei 83.850 KM Zahnriemen erneuertDeutsches Nichtraucherfahrzeug aus seriösen Vorbesitz- Bordmappe incl. Scheckheft, diverse Unterlagen und 2 originale Schlüssel vorhanden.- Finanzierung ggf. auch ohne Anzahlung möglich.- Inzahlungnahme selbstverständlich zu fairen Preisen durch unser Haus möglich.- Sämtliche Angaben zu dem inserierten Fahrzeug sind unverbindlich.- Irrtümer, Schreibfehler und Zwischenverkauf vorbehalten.- BITTE KEINE ANFRAGEN PER MAIL!Sollten wir Ihr Interesse geweckt haben freuen wir uns auf Ihren Anruf und sind gerne unter 015120472680 für Sie da.Öffnungszeiten:Mo-Fr 08:00-18:30Sa      08:00-15:30KleinwagenGebrauchtfahrzeugHubraum: 1390 cm³Anzahl der Türen: 4/5 TürenAnzahl Sitzplätze: 5Schadstoffklasse: Euro4Umweltplakette: 4 (Grün)Anzahl der Fahrzeughalter: 1HU: NeuFarbe: Silber MetallicFarbe (Hersteller): Silverbird MetallicInnenausstattung: StoffFarbe der Innenausstattung: SchwarzAirbags: Front- und Seiten-AirbagsAnhängerkupplung: --Radio: Tuner/RadioPannenhilfe: ReserveradAusstattungABS, Alarmanlage, CD-Spieler, ESP, Elektr. Fensterheber, Elektr. Wegfahrsperre, Innenspiegel autom. abblendend, Isofix, Lederlenkrad, Leichtmetallfelgen, Nichtraucher-Fahrzeug, Scheckheftgepflegt, Servolenkung, Sommerreifen, Sportpaket, Stahlfelgen, Winterreifen, ZentralverriegelungWeitere Informationen bei","Ottostr23,84030Bayern-Landshut"
"21","1177585257","Limousine","500€","86.000","2004","UnbeschädigtesFahrzeug","Lippe","                    !!!!! BITTE BEACHTEN !!!!!BEI DEN ANGEBOTENEN FAHRZEUGEN HANDELT ES SICH UM REINE HÄNDLER- EXPORTWARE / GEWERBEWARE.WIR HABEN KEINEN WERKSTATTBETRIEB.ES WIRD KEINE HAUPTUNTERSUCHUNG TÜV / AU ERNEUERT.WIR WISSEN NICHT WAS FÜR EINE NEUE HAUPTUNTERSUCHUNG REPARIERT / INVESTIERT WERDEN MUSS.!!!!! BITTE BEACHTEN !!!!!VW Polo 9N 1.2l BenzinKleinwagen3-TürenSchaltgetriebe1.2l Benzin47 KW / 64 PSEURO 4TÜV / HU / AU abgelaufenKlimaanlageelektrische Fensterheberelektrisch verstellbare AußenspiegelLeichtmetallräderServolenkungStoffsitzeMängel / Beschädigungen:- Motorkontrollampe leuchtet auf / Motor hat keine Leistung- diverse Kratzer und Dellen- altersbedingte Gebrauchsspuren- diverse RostschädenÄnderungen, Irrtümer und Zwischenverkauf vorbehalten.Der Verkauf erfolgt ausschließlich an Gewerbetreibende / Export oder an Bastler.","Lippertskirchen10,83075Bayern-BadFeilnbach"
